City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Ayni,TJ,2021-08-15 18:39:59,39.3941,68.5377,64.96,56,2,4.05
206,Santa Maria,BR,2021-08-15 18:40:00,-29.6842,-53.8069,70.9,60,75,2.3
207,Slave Lake,CA,2021-08-15 18:40:00,55.2834,-114.769,66.18,88,90,8.05
208,Tuy Hoa,VN,2021-08-15 18:40:00,13.0833,109.3,74.43,88,100,5.44
209,Fatehpur,IN,2021-08-15 18:40:03,25.9333,80.8,87.01,68,99,3.13
210,Half Moon Bay,US,2021-08-15 18:40:03,37.4636,-122.4286,85.12,73,1,1.01
211,Soe,ID,2021-08-15 18:40:04,-9.8607,124.284,63.95,92,28,5.35
212,Fatehpur Sikri,IN,2021-08-15 18:40:04,27.1,77.6667,88.14,54,51,3.44
213,Kyle,US,2021-08-15 18:40:05,29.9984,-97.8715,95.09,58,20,6.91
214,Tuktoyaktuk,CA,2021-08-15 18:40:06,69.4541,-133.0374,53.6,66,90,10.36
215,Wangaratta,AU,2021-08-15 18:40:06,-36.3667,146.3333,46.45,81,25,10.36
216,Aktau,KZ,2021-08-15 18:40:07,43.65,51.2,75.78,48,9,7.23
217,Songjianghe,CN,2021-08-15 18:40:07,42.1859,127.479,58.01,97,100,3.53
218,Canmore,CA,2021-08-15 18:35:22,51.0834,-115.3521,77.11,33,100,8.05
219,Baykit,RU,2021-08-15 18:40:08,61.67,96.37,55.67,93,100,1.95
220,Gizo,SB,2021-08-15 18:40:08,-8.103,156.8419,81.36,78,63,6.96
221,Rio Gallegos,AR,2021-08-15 18:40:08,-51.6226,-69.2181,51.85,62,0,4.61
222,Guskhara,IN,2021-08-15 18:40:09,23.5,87.75,82.85,82,100,9.42
223,Grindavik,IS,2021-08-15 18:40:09,63.8424,-22.4338,53.55,100,90,12.66
224,Sembe,CG,2021-08-15 18:40:10,1.6481,14.5806,77.41,73,100,2.04
225,Daru,PG,2021-08-15 18:40:10,-9.0763,143.2092,76.37,89,96,16.84
226,Thompson,CA,2021-08-15 18:40:11,55.7435,-97.8558,77.16,38,40,19.57
227,Hualmay,PE,2021-08-15 18:40:11,-11.0964,-77.6139,67.05,70,61,11.52
228,Asau,RO,2021-08-15 18:40:11,46.4333,26.4,72.52,78,30,1.12
229,Esperance,AU,2021-08-15 18:40:12,-33.8667,121.9,48.04,88,0,8.3
230,Vanimo,PG,2021-08-15 18:40:12,-2.6741,141.3028,76.46,90,75,5.01
231,Havelock,US,2021-08-15 18:40:12,34.8791,-76.9013,91.63,73,40,5.01
232,Alyangula,AU,2021-08-15 18:35:22,-13.8483,136.4192,67.87,94,1,1.14
233,Zheleznodorozhnyy,RU,2021-08-15 18:40:13,55.7503,38.0042,73.81,60,88,7.85
234,Odweyne,SO,2021-08-15 18:40:13,9.4092,45.064,75.47,46,91,16.13
235,Khatanga,RU,2021-08-15 18:40:14,71.9667,102.5,55.51,55,100,12.15
236,Hirara,JP,2021-08-15 18:40:14,24.8,125.2833,82.9,80,6,12.91
237,Raga,SS,2021-08-15 18:40:14,8.4596,25.678,69.69,94,100,2.68
238,Thakurgaon,BD,2021-08-15 18:40:15,26.0333,88.4667,81.77,85,100,4.16
239,Awjilah,LY,2021-08-15 18:40:15,29.1081,21.2869,86.23,42,0,16.53
240,Svetlaya,RU,2021-08-15 18:40:16,46.5389,138.3297,55.15,86,59,3.04
241,Whitehorse,CA,2021-08-15 18:40:16,60.7161,-135.0538,44.02,93,90,3.44
242,Itaituba,BR,2021-08-15 18:40:16,-4.2761,-55.9836,93.36,52,40,3.44
243,Cidreira,BR,2021-08-15 18:40:17,-30.1811,-50.2056,62.24,83,27,5.48
244,Solnechnyy,RU,2021-08-15 18:40:17,50.7214,136.6319,58.28,83,1,3.09
245,Kasempa,ZM,2021-08-15 18:40:18,-13.4584,25.8338,64.96,33,0,5.37
246,Ormara,PK,2021-08-15 18:40:18,25.2088,64.6357,79.07,85,100,13.02
247,Iqaluit,CA,2021-08-15 18:40:18,63.7506,-68.5145,46.13,87,75,3.44
248,Longyearbyen,SJ,2021-08-15 18:40:19,78.2186,15.6401,39.04,75,75,16.11
249,Psebay,RU,2021-08-15 18:40:19,44.1234,40.8107,61.52,95,66,3.96
250,Lanxi,CN,2021-08-15 18:40:20,29.2195,119.477,75.94,98,99,1.97
251,Talaya,RU,2021-08-15 18:40:20,61.3833,152.75,51.58,81,22,2.75
252,Vila Franca Do Campo,PT,2021-08-15 18:40:20,37.7167,-25.4333,75.61,81,11,8.28
253,Maridi,SS,2021-08-15 18:40:21,4.9158,29.4742,66.61,94,100,3.29
254,Fortuna,US,2021-08-15 18:35:51,40.5982,-124.1573,69.93,82,75,1.99
255,Balud,PH,2021-08-15 18:40:22,10.1476,123.6953,78.76,81,94,3.91
256,Husavik,IS,2021-08-15 18:40:22,66.0449,-17.3389,60.71,77,15,7.78
257,Mackay,AU,2021-08-15 18:40:22,-21.15,149.2,67.05,88,90,5.75
258,Villanueva De La Serena,ES,2021-08-15 18:40:23,38.9766,-5.7974,99.82,7,4,11.01
259,Argir,FO,2021-08-15 18:40:23,61.9959,-6.7715,49.17,71,8,10.54
260,Muyezerskiy,RU,2021-08-15 18:40:23,63.9333,31.65,51.89,96,47,5.41
261,Novikovo,RU,2021-08-15 18:40:24,51.1537,37.8879,68.77,39,100,0.72
262,Barra Do Garcas,BR,2021-08-15 18:40:24,-15.89,-52.2567,97.38,17,0,5.75
