City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Alepe,CI,76.87,few clouds,5.5004,-3.6631,BENENE 1
368,Saint Anthony,US,88.18,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
373,Puerto Escondido,MX,86.83,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
374,Manokwari,ID,82.29,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
375,Port-Gentil,GA,75.31,moderate rain,-0.7193,8.7815,Fengshui Residence
376,Tezu,IN,75.79,overcast clouds,27.9167,96.1667,Circuit House
377,Ugoofaaru,MV,79.79,overcast clouds,5.6667,73.0,Ungoofaaru Inn
383,Sinnamary,GF,78.85,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
384,Ribas Do Rio Pardo,BR,79.32,clear sky,-20.4431,-53.7592,Pousada Avenida
385,Siuna,NI,79.43,broken clouds,13.7332,-84.7773,hotel los chinitos
386,Faanui,PF,78.35,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
388,Si Bun Ruang,TH,77.11,broken clouds,16.9667,102.2833,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
389,Indramayu,ID,78.04,broken clouds,-6.3264,108.32,Grand Trisula Hotel
392,Ha Giang,VN,78.44,overcast clouds,22.8333,104.9833,Truong Xuan Ecolodge
393,Matay,EG,80.98,clear sky,28.419,30.7792,Nag Aespen
395,Kousseri,CM,77.83,broken clouds,12.0769,15.0306,Le Pilotis
401,Sussex,US,75.34,light rain,41.1834,-74.6663,Top O Hill Farm - McDougals
402,Kumluca,TR,81.18,clear sky,36.3703,30.2869,TurkuazKöy
406,Aswan,EG,86.52,clear sky,24.0934,32.907,Nuba Nile
410,Turbat,PK,78.39,clear sky,26.0023,63.044,Mubashar Quarters
412,Belle Glade,US,86.02,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
413,Guerrero Negro,MX,81.1,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
414,Tautira,PF,82.42,moderate rain,-17.7333,-149.15,Pension Oaoa
417,Hobyo,SO,76.35,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
419,Cabo San Lucas,MX,88.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
425,Tual,ID,79.5,few clouds,-5.6667,132.75,Grand Vilia Hotel
426,Pozo Colorado,PY,84.69,clear sky,-23.4923,-58.7972,Hospedaje la Amistad
434,Katsuura,JP,86.11,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
438,Sabha,LY,86.41,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
441,Pafos,CY,78.71,few clouds,34.7667,32.4167,Elysium Hotel
449,Marsh Harbour,BS,83.89,few clouds,26.5412,-77.0636,Abaco Beach Resort
453,Acajutla,SV,84.79,scattered clouds,13.5928,-89.8275,asi es
454,Shelburne,CA,75.13,broken clouds,44.0787,-80.2041,The Retreat at the Farm
457,Buraydah,SA,84.42,scattered clouds,26.326,43.975,فندق راحة السلام
462,Brewster,US,75.52,broken clouds,41.3973,-73.6171,Heidi's Inn
463,Diffa,NE,78.35,overcast clouds,13.3154,12.6113,ProDAF/Diffa
464,Samarai,PG,78.33,overcast clouds,-10.6167,150.6667,Nuli Sapi
466,Prince George,CA,76.24,clear sky,53.9166,-122.753,Canadas Best Value Inn Prince George
467,Dryden,CA,88.34,broken clouds,49.7833,-92.7503,"Holiday Inn Express Dryden, an IHG Hotel"
471,Camacha,PT,79.56,few clouds,33.0833,-16.3333,Hotel Praia Dourada
472,Bontang,ID,78.03,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
476,Lompoc,US,78.1,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
478,Nanao,JP,77.29,moderate rain,37.05,136.9667,Hotel Alivio
482,Kavaratti,IN,80.28,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
483,Fortuna,US,76.42,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
486,Boyolangu,ID,75.76,overcast clouds,-8.1181,111.8935,Yos ega cv
487,Tabuk,PH,79.83,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
488,Itarema,BR,78.21,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
497,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
498,Palmer,US,75.92,overcast clouds,42.1584,-72.3287,Wedgewood Motel
502,Honiara,SB,84.47,overcast clouds,-9.4333,159.95,Heritage Park Hotel
503,Alugan,PH,79.41,light rain,12.2188,125.4808,JM Lodge
504,Port Keats,AU,81.1,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
510,Cache Creek,CA,78.91,overcast clouds,50.8101,-121.3246,Canadas Best Value Inn & Suites Cache Creek
512,Phan Thiet,VN,79.56,scattered clouds,10.9333,108.1,Hotel Saigon-PT
514,Kupang,ID,81.18,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
520,Natal,BR,75.85,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
522,Gibara,CU,79.92,overcast clouds,21.1097,-76.1317,Sol y Mar
523,Kiunga,PG,76.55,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
526,Sturgis,US,79.05,scattered clouds,41.7992,-85.4192,Best Western Plus Howe Inn
529,Manoharpur,IN,85.15,broken clouds,27.3,75.95,कैथल हरियाणा होटल
530,Goya,AR,76.14,clear sky,-29.14,-59.2626,Apart Costanera Goya
